disease,column_name,display_name,unit,normal_min,normal_max,sex_specific,male_normal_min,male_normal_max,female_normal_min,female_normal_max,direction_of_concern,mild_low_threshold,mild_high_threshold,critical_low_threshold,critical_high_threshold,label_0_normal,label_1_mild,label_2_critical,verified_source,clinical_notes
Diabetes,hba1c,HbA1c (Glycated Hemoglobin),%,NA,5.6,No,NA,NA,NA,NA,HIGH_BAD,NA,5.7,NA,8.0,HbA1c < 5.7%,HbA1c 5.7%–7.9% (prediabetes or controlled diabetes),HbA1c >= 8.0% (poorly controlled — treatment intensification required),ADA Standards of Care 2024,5.7–6.4% = prediabetes; >=6.5% on two tests = diabetes; >=8.0% = poor glycaemic control. Primary diagnostic criterion per ADA.
Diabetes,fasting_glucose,Fasting Plasma Glucose (FPG),mg/dL,70,99,No,NA,NA,NA,NA,BOTH,55,100,50,200,Fasting glucose 70–99 mg/dL,100–125 mg/dL (IFG/prediabetes) OR 55–69 mg/dL (mild hypoglycaemia),>= 126 mg/dL on two occasions (diabetes) OR < 55 mg/dL (severe hypoglycaemia),ADA Standards of Care 2024,Must be fasting >= 8 hr. Hypoglycaemia alert: <70; significant: <54; severe: <40 mg/dL. For Indian pop. use same ADA cutoffs.
Diabetes,postprandial_glucose_2hr,2-hr Postprandial Glucose (OGTT),mg/dL,NA,139,No,NA,NA,NA,NA,HIGH_BAD,NA,140,NA,200,2-hr OGTT < 140 mg/dL,140–199 mg/dL (IGT — Impaired Glucose Tolerance / prediabetes),>= 200 mg/dL (diabetes confirmed),ADA Standards of Care 2024,75 g oral glucose load. Most sensitive for early glucose intolerance. IGT = prediabetes. Done exactly at 2-hr mark post load.
Diabetes,random_glucose,Random (Casual) Blood Glucose,mg/dL,NA,139,No,NA,NA,NA,NA,HIGH_BAD,NA,140,NA,200,< 140 mg/dL,140–199 mg/dL (impaired),>= 200 mg/dL with classic symptoms (polyuria/polydipsia) = diabetes,ADA Standards of Care 2024,Non-fasting. Alone can diagnose only if >= 200 + symptoms. Otherwise confirm with FPG or HbA1c.
Diabetes,fasting_insulin,Fasting Serum Insulin,µIU/mL,2,25,No,NA,NA,NA,NA,HIGH_BAD,NA,25,NA,50,2–24.9 µIU/mL,25–50 µIU/mL (hyperinsulinaemia / insulin resistance),> 50 µIU/mL (severe insulin resistance),Clinical laboratory reference (NHANES),Used to compute HOMA-IR = (fasting_glucose × fasting_insulin) / 405. HOMA-IR > 2.5 = insulin resistance; > 5.0 = severe. Very low in Type 1 DM.
Diabetes,c_peptide,C-Peptide,ng/mL,0.5,2.0,No,NA,NA,NA,NA,BOTH,0.5,2.0,0.2,4.0,0.5–2.0 ng/mL,0.2–0.49 ng/mL or 2.1–3.9 ng/mL,< 0.2 ng/mL (Type 1 DM / pancreatic failure) OR > 4.0 ng/mL,Endocrine Society / Clinical standard,Co-secreted with insulin in equimolar amounts. Low = Type 1 DM. Normal/high = Type 2 DM. Distinguishes T1 vs T2. Not in all lab panels; use if available.
Diabetes,triglycerides,Triglycerides (Fasting),mg/dL,NA,149,No,NA,NA,NA,NA,HIGH_BAD,NA,150,NA,500,< 150 mg/dL,150–499 mg/dL (borderline–high; metabolic syndrome marker),>= 500 mg/dL (very high; acute pancreatitis risk),ADA 2024 / AHA/ACC 2019 / NCEP ATP III,Hypertriglyceridaemia is extremely common in T2DM and metabolic syndrome. Fasting sample required. >= 500 = immediate clinical concern.
Diabetes,hdl,HDL Cholesterol,mg/dL,NA,NA,Yes,40,NA,50,NA,LOW_BAD,35,NA,30,NA,>= 40 mg/dL (men); >= 50 mg/dL (women),35–39 mg/dL (men); 40–49 mg/dL (women) — low HDL,< 35 mg/dL (men); < 40 mg/dL (women) — very low HDL,ADA 2024 / ATP III / AHA 2019,Low HDL = independent CVD risk factor and metabolic syndrome criterion. ATP III cutoffs: <40 men / <50 women. Extremely common in T2DM.
Diabetes,ldl,LDL Cholesterol,mg/dL,NA,99,No,NA,NA,NA,NA,HIGH_BAD,NA,100,NA,190,< 100 mg/dL (ADA target for diabetics),100–189 mg/dL (above ADA target),>= 190 mg/dL (very high; familial hypercholesterolaemia range),ADA 2024 / AHA/ACC 2019,ADA target: <100; <70 for high CVD risk diabetics. Friedewald equation: LDL = Total_Chol − HDL − (TG/5). Invalid if TG > 400.
Diabetes,uacr,Urine Albumin-Creatinine Ratio (UACR),mg/g,NA,29,No,NA,NA,NA,NA,HIGH_BAD,NA,30,NA,300,< 30 mg/g,30–300 mg/g (microalbuminuria — early diabetic nephropathy),> 300 mg/g (macroalbuminuria — established nephropathy),ADA 2024 / KDIGO 2022,ADA: screen all T2DM at diagnosis; all T1DM after 5 yr. Spot urine. Confirm on 2 of 3 samples over 3–6 months. Critical for diabetic kidney disease staging.
Diabetes,egfr,Estimated GFR (CKD-EPI equation),mL/min/1.73m²,60,NA,No,NA,NA,NA,NA,LOW_BAD,60,NA,30,NA,>= 60 mL/min/1.73m²,30–59 (CKD Stage 3 — diabetic kidney disease),< 30 (CKD Stage 4–5 — advanced diabetic nephropathy),ADA 2024 / KDIGO 2022,Calculated from serum creatinine using 2021 CKD-EPI equation (race-free). Screen annually in all diabetics. Decline = diabetic nephropathy progression.
Diabetes,bmi,Body Mass Index (BMI),kg/m²,18.5,24.9,No,NA,NA,NA,NA,HIGH_BAD,NA,25.0,NA,35.0,18.5–24.9 kg/m²,25.0–34.9 kg/m² (overweight to obese — T2DM risk factor),>= 35.0 kg/m² (severe obesity; strong T2DM association),WHO / ADA 2024,Not a blood test but key T2DM risk factor. For South Asian population (incl. India): use adjusted cutoffs — >= 23 overweight; >= 25 obese (lower threshold due to higher metabolic risk at lower BMI).
